VOY_ID,VOY_IEFG,SCD_RCVSTDT,SCD_RCVEDDT,VBT_BTH_PBTHNO,VBT_BTH_ABTHNO,VBT_PBTHDT,VBT_PDPTDT,VBT_ABTHDT,VBT_ADPTDT
452547,I,00:00.0,00:00.0,2,2,30:00.0,30:00.0,20:00.0,50:00.0
452548,E,00:00.0,00:00.0,2,2,30:00.0,30:00.0,20:00.0,50:00.0
451557,I,00:00.0,00:00.0,2,2,00:00.0,30:00.0,59:00.0,30:00.0
451558,E,00:00.0,00:00.0,2,2,00:00.0,30:00.0,59:00.0,30:00.0
451630,E,00:00.0,30:00.0,4,4,00:00.0,30:00.0,40:00.0,00:00.0
451629,I,00:00.0,30:00.0,4,4,00:00.0,30:00.0,40:00.0,00:00.0
451611,I,00:00.0,00:00.0,3,3,30:00.0,00:00.0,10:00.0,25:00.0
451612,E,00:00.0,00:00.0,3,3,30:00.0,00:00.0,10:00.0,25:00.0
452550,E,00:00.0,30:00.0,1,1,30:00.0,30:00.0,10:00.0,30:00.0
452549,I,00:00.0,30:00.0,1,1,30:00.0,30:00.0,10:00.0,30:00.0
451644,E,00:00.0,30:00.0,4,4,00:00.0,00:00.0,00:00.0,00:00.0
451643,I,00:00.0,30:00.0,4,4,00:00.0,00:00.0,00:00.0,00:00.0
451502,E,00:00.0,00:00.0,6,6,00:00.0,30:00.0,40:00.0,55:00.0
451501,I,00:00.0,00:00.0,6,6,00:00.0,30:00.0,40:00.0,55:00.0
452623,E,00:00.0,00:00.0,3,3,30:00.0,30:00.0,00:00.0,30:00.0
452622,I,00:00.0,00:00.0,3,3,30:00.0,30:00.0,00:00.0,30:00.0
451565,I,40:00.0,30:00.0,6,6,00:00.0,00:00.0,30:00.0,00:00.0
451566,E,40:00.0,30:00.0,6,6,00:00.0,00:00.0,30:00.0,00:00.0
451551,I,00:00.0,00:00.0,3,3,00:00.0,00:00.0,00:00.0,00:00.0
451552,E,00:00.0,00:00.0,3,3,00:00.0,00:00.0,00:00.0,00:00.0
452790,E,00:00.0,30:00.0,3,3,00:00.0,30:00.0,50:00.0,30:00.0
452789,I,00:00.0,30:00.0,3,3,00:00.0,30:00.0,50:00.0,30:00.0
451536,E,00:00.0,30:00.0,4,4,30:00.0,30:00.0,45:00.0,30:00.0
451535,I,00:00.0,30:00.0,4,4,30:00.0,30:00.0,45:00.0,30:00.0
452742,I,00:00.0,30:00.0,2,2,00:00.0,30:00.0,05:00.0,30:00.0
452743,E,00:00.0,30:00.0,2,2,00:00.0,30:00.0,05:00.0,30:00.0
452735,I,00:00.0,00:00.0,3,3,00:00.0,30:00.0,40:00.0,30:00.0
452736,E,00:00.0,00:00.0,3,3,00:00.0,30:00.0,40:00.0,30:00.0
451579,I,00:00.0,00:00.0,2,2,00:00.0,00:00.0,45:00.0,00:00.0
451580,E,00:00.0,00:00.0,2,2,00:00.0,00:00.0,45:00.0,00:00.0
